CaSc;AutoCaSc
13;11,05
12,66;-
12,66;13,42
12,5;11,24
12,2;9,91
11,94;12,91
11,9;12,73
11,9;10,21
11,83;11,75
11,7;10,89
11,7;8,96
11,69;11,39
11,61;9,52
11,56;11,52
11,56;9,85
11,53;9,91
11,5;12,75
11,5;9,28
11,33;12,27
11,33;10,23
11,2;12,43
11,2;12,38
11;9,32
10,99;8,3
10,85;8,19
10,79833333;9,54
10,69;12,4
10,69;9,67
10,65032333;10,31
10,4;10,6
10,4;9,74
10,33;7,45
10,24;9,75
10,2;9,74
10,2;9,39
10,16;12,67
10,03;8,89
10;8,05
9,976666667;10,71
9,9;7,21
9,859743333;8,68
9,83;8,43
9,796666667;8,1
9,763333333;11
9,73;9,22
9,716666667;7,59
9,70463;8,21
9,7;12,12
9,7;8,15
9,69;8,64
9,66;9,22
9,66;4
9,65;7,5
9,605;9,4
9,556666667;9,52
9,55;10,9
9,54643;10,07
9,513333333;9,51
9,49;10,58
9,453333333;6,39
9,4;9,63
9,4;8,03
9,4;7,34
9,4;4,07
9,36;8,06
9,36;7,5
9,33;9,8
9,326666667;10,1
9,324645;9,325
9,3;9,9
9,28;9,33
9,275;-
9,230243333;8,7
9,21;5,64
9,2;9,02
9,2;9,93
9,2;9,16
9,2;6,6
9,18;8,7
9,1165;7,62
9,103333333;10,715
9,06017;8,04
9,053333333;6,66
9,03;11,18
9,03;9,13
9,01;9,97
9,009893333;8,93
8,98489;5,5
8,966666667;9,96
8,946666667;7,78
8,933333333;7,92
8,914876667;6,22
8,900406667;8,69
8,9;8,15
8,8428;8,89
8,836666667;8,12
8,81;7,82
8,8;8,05
8,781856667;8,06
8,74;8,32
8,73;8,94
8,71;10,08
8,7;10,62
8,7;8,47
8,7;6,37
8,7;6,19
8,693;6,72
8,686666667;5,49
8,673333333;8,34
8,67;9,92
8,666666667;7,555
8,66;-
8,66;7,18
8,61;10,1
8,6;6,86
8,581026667;5,79
8,58;9,19
8,57;-
8,566666667;7,995
8,559693333;6,9
8,536666667;8,93
8,53;7,96
8,5;10,5
8,5;9,87
8,5;9,86
8,5;8,19
8,5;7,56
8,5;6,72
8,5;6,09
8,44;6,67
8,416666667;9,02
8,4;10,03
8,4;8,21
8,39;8,85
8,36;7,13
8,357876667;10,68
8,35585;9,71
8,353333333;7,73
8,35;9,68
8,35;8,46
8,32;-
8,3;5,95
8,287923333;9,92
8,28;8,82
8,276666667;6,65
8,25536;8,88
8,23;8,03
8,23;7,77
8,21914;6,18
8,213043333;6,95
8,2068;6,66
8,2;7,84
8,2;6,49
8,173783333;7,04
8,161666667;7,78
8,145;6,94
8,10576;7,99
8,1;8,83
8,1;7,73
8,09;8,64
8,076666667;9,03
8,060783333;6,86
8,06;9,38
8,06;7,63
8,055226667;8,43
8,05;8,3
8,046666667;6,07
8,043333333;7,47
8,039976667;8,32
8,03;6,88
8,03;6,27
8,03;4,95
8,029896667;6,83
8,02;7,42
8,016666667;5,13
8,013333333;8,81
8;9,11
8;7,33
7,99;9
7,99;5,28
7,97232;5,37
7,933333333;8,23
7,93;6,44
7,906666667;6,81
7,9;10,2
7,9;7,8
7,9;6,75
7,9;2,87
7,88;9,36
7,876666667;6,9
7,873333333;8,89
7,83;-
7,83;5,96
7,826666667;6,03
7,816666667;9,59
7,8;8,21
7,796666667;6,32
7,79;7,23
7,78;8,47
7,75;11,01
7,732243333;5,75
7,73;7,09
7,729333333;7,14
7,7;10,16
7,7;9,09
7,7;8,69
7,7;7,84
7,7;7,52
7,7;6,96
7,7;4,61
7,686986667;8,73
7,68;7,23
7,676666667;7,41
7,61531;6,07
7,6;7,67
7,57;6,65
7,562666667;6,6
7,56;7,58
7,555893333;8,35
7,55276;6,19
7,55057;3,35
7,536666667;7,06
7,53;10,21
7,516666667;8,28
7,51;5,88
7,5;7,43
7,5;5,65
7,486666667;8,56
7,483333333;8,1
7,47923;9,13
7,474753333;8,19
7,46;6
7,43351;6,65
7,43;5,72
7,403333333;6,62
