"Entrez id",SysID,"Chromosome location","Gene type","Gene symbol","Gene group","Gene description","Gene synonyms","Omim id","Ensembl id","Hprd id","Hgnc id",hPSD
10060,SysID_0467,12p12.1,protein-coding,ABCC9,"ID data freeze 650","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","ABC37, ATFB12, CANTU, CMD1O, SUR2",601439,ENSG00000069431,03258,60,0
215,SysID_0001,Xq28,protein-coding,ABCD1,"ID data freeze 388","ATP-binding cassette, sub-family D (ALD), member 1","ABC42, ALD, ALDP, AMN",300371,ENSG00000101986,02300,61,1
5826,SysID_0468,14q24.3,protein-coding,ABCD4,"ID data freeze 650","ATP-binding cassette, sub-family D (ALD), member 4","ABC41, EST352188, MAHCJ, P70R, P79R, PMP69, PXMP1L",603214,ENSG00000119688,04446,68,0
51099,SysID_0002,3p21,protein-coding,ABHD5,"ID data freeze 388","abhydrolase domain containing 5","CDS, CGI58, IECN2, NCIE2",604780,ENSG00000011198,11986,21396,0
28976,SysID_0422,3q21.3,protein-coding,ACAD9,"ID data freeze 650","acyl-CoA dehydrogenase family, member 9",NPD002,611103,ENSG00000177646,12412,21497,0
50,SysID_0469,22q13.2,protein-coding,ACO2,"ID data freeze 650","aconitase 2, mitochondrial","ACONM, ICRD, OCA8",100850,ENSG00000100412,00012,118,1
51,SysID_0003,17q25.1,protein-coding,ACOX1,"ID data freeze 388","acyl-CoA oxidase 1, palmitoyl","ACOX, PALMCOX, SCOX",609751,ENSG00000161533,02030,119,0
197322,SysID_0435,16q24.3,protein-coding,ACSF3,"ID data freeze 650","acyl-CoA synthetase family member 3",-,614245,ENSG00000176715,14117,27288,0
2182,SysID_0004,Xq22.3-q23,protein-coding,ACSL4,"ID data freeze 388","acyl-CoA synthetase long-chain family member 4","ACS4, FACL4, LACS4, MRX63, MRX68",300157,ENSG00000068366,02152,3571,1
60,SysID_0463,7p22,protein-coding,ACTB,"ID data freeze 650","actin, beta","BRWS1, PS1TP5BP1",102630,ENSG00000075624,00032,132,1
71,SysID_0464,17q25,protein-coding,ACTG1,"ID data freeze 650","actin gamma 1","ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176",102560,ENSG00000184009,00017,144,0
90,SysID_0005,2q23-q24,protein-coding,ACVR1,"ID data freeze 388","activin A receptor, type I","ACTRI, ACVR1A, ACVRLK2, ALK2, FOP, SKR1, TSRI",102576,ENSG00000115170,00021,171,0
103,SysID_0470,1q21.3,protein-coding,ADAR,"ID data freeze 650","adenosine deaminase, RNA-specific","ADAR1, AGS6, DRADA, DSH, DSRAD, G1P1, IFI-4, IFI4, K88DSRBP, P136",146920,ENSG00000160710,07528,225,0
