"Entrez id",SysID,"Chromosome location","Gene type","Gene symbol","Gene group","Gene description","Gene synonyms","Omim id","Ensembl id","Hprd id","Hgnc id",hPSD
186,SysID_0011,Xq22-q23,protein-coding,AGTR2,"ID candidate genes","angiotensin II receptor, type 2","AT2, ATGR2, MRX88",300034,ENSG00000180772,02071,338,0
9459,SysID_0031,Xq26.3,protein-coding,ARHGEF6,"ID candidate genes","Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6","COOL2, Cool-2, MRX46, PIXA, alpha-PIX, alphaPIX",300267,ENSG00000129675,02226,685,0
124093,SysID_0476,16p13.3,protein-coding,CCDC78,"ID candidate genes","coiled-coil domain containing 78","C16orf25, CNM4, JFP10, hsCCDC78",614666,ENSG00000162004,08174,14153,0
9759,SysID_0401,2q37.3,protein-coding,HDAC4,"Autism candidate genes, ID candidate genes","histone deacetylase 4","AHO3, BDMR, HA6116, HD4, HDAC-4, HDAC-A, HDACA",605314,ENSG00000068024,05610,14063,0
55634,SysID_0383,Xp11.3,protein-coding,KRBOX4,"ID candidate genes","KRAB box domain containing 4",ZNF673,300585,ENSG00000147121,06530,26007,0
84061,SysID_0188,Xq21.1,protein-coding,MAGT1,"ID candidate genes","magnesium transporter 1","IAP, MRX95, OST3B, PRO0756, XMEN, bA217H1.1",300715,ENSG00000102158,06487,28880,0
55967,SysID_0448,12q22,protein-coding,NDUFA12,"ID candidate genes","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12","B17.2, DAP13",614530,ENSG00000184752,16781,23987,1
8799,SysID_0503,1q21.1,protein-coding,PEX11B,"ID candidate genes","peroxisomal biogenesis factor 11 beta","PEX11-BETA, PEX14B",603867,ENSG00000131779,04844,8853,1
5498,SysID_0284,1q22,protein-coding,PPOX,"ID candidate genes","protoporphyrinogen oxidase","PPO, V290M, VP",600923,ENSG00000143224,02953,9280,0
282808,SysID_0509,Xq22.2,protein-coding,RAB40AL,"ID candidate genes","RAB40A, member RAS oncogene family-like","MRXSMP, RAR2, RLGP",300405,ENSG00000102128,,25410,0
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)","CWS2, IP, PGL4, SDH, SDH1, SDH2, SDHIP",185470,ENSG00000117118,01707,10681,0
22941,SysID_0316,11q13.2,protein-coding,SHANK2,"Autism candidate genes, ID candidate genes","SH3 and multiple ankyrin repeat domains 2","AUTS17, CORTBP1, CTTNBP1, ProSAP1, SHANK, SPANK-3",603290,ENSG00000162105,04479,14295,1
27286,SysID_0342,Xq22.1,protein-coding,SRPX2,"ID candidate genes","sushi-repeat containing protein, X-linked 2","BPP, CBPS, PMGX, RESDX, SRPUL",300642,ENSG00000102359,06726,30668,0
255928,SysID_0430,1q32.2,protein-coding,SYT14,"ID candidate genes","synaptotagmin XIV","SCAR11, sytXIV",610949,ENSG00000143469,11617,23143,0
7046,SysID_0354,9q22,protein-coding,TGFBR1,"ID candidate genes","transforming growth factor, beta receptor 1","AAT5, ACVRLK4, ALK-5, ALK5, ESS1, LDS1, LDS1A, LDS2A, MSSE, SKR4, TGFR-1, tbetaR-I",190181,ENSG00000106799,01822,11772,0
7048,SysID_0355,3p22,protein-coding,TGFBR2,"ID candidate genes","transforming growth factor, beta receptor II (70/80kDa)","AAT3, FAA3, LDS1B, LDS2, LDS2B, MFS2, RIIC, TAAD2, TGFR-2, TGFbeta-RII",190182,ENSG00000163513,01823,11773,0
7592,SysID_0382,Xp11.23,protein-coding,ZNF41,"ID candidate genes","zinc finger protein 41",MRX89,314995,ENSG00000147124,02447,13107,0
347344,SysID_0386,Xp11.23,protein-coding,ZNF81,"ID candidate genes","zinc finger protein 81","HFZ20, MRX45, dJ54B20.6",314998,ENSG00000197779,,13156,0
85476,SysID_1994,3q25,protein-coding,GFM1,"ID candidate genes","G elongation factor, mitochondrial 1","COXPD1, EFG, EFG1, EFGM, EGF1, GFM, hEFG1",606639,ENSG00000168827,07365,13780,0
4703,SysID_1995,2q22,protein-coding,NEB,"Negative control ID screen, ID candidate genes",nebulin,"NEB177D, NEM2",161650,ENSG00000183091,01196,7720,0
84320,SysID_0525,1q25.3,protein-coding,ACBD6,"ID candidate genes","acyl-CoA binding domain containing 6",-,616352,ENSG00000230124,12416,23339,0
151,SysID_0529,2q11.1,protein-coding,ADRA2B,"ID candidate genes","adrenoceptor alpha 2B","ADRA2L1, ADRA2RL1, ADRARL1, ALPHA2BAR, alpha-2BAR",104260,ENSG00000274286,00086,282,0
